23,Rafael4,Oleta.Prohaska20,8,3,7.91,deposit,Hatchback, 2023-09-3,未完成
24,Yvette68,Elinore_Goyette65,670,5,6.48,deposit,SUV, 2023-09-3,未完成
25,Jude_Spencer-Simonis,Darby18,659,2,6.48,withdrawal,Coupe, 2023-09-3,未完成
26,Queen_Bogisich,Delaney.Spencer66,445,1,7.34,invoice,Minivan, 2023-09-3,未完成
27,Nyasia_Schiller,Marjorie78,827,2,5.34,withdrawal,Wagon, 2023-09-3,未完成
28,Madison.Mueller09,Zita25,765,2,8.41,withdrawal,Extended Cab Pickup, 2023-09-3,未完成
29,Maritza42,Romaine_Casper-Conn,146,4,5.65,deposit,Wagon, 2023-09-3,未完成
30,Mohammad.Runolfsdottir-Parker,Hannah54,873,2,5.32,withdrawal,Extended Cab Pickup, 2023-09-3,未完成
31,Dakota.Kuvalis,Florida.Hettinger,653,3,7.11,payment,Wagon, 2023-09-3,未完成
32,Sherman40,Broderick99,255,4,7.77,withdrawal,Coupe, 2023-09-3,未完成
33,Johnpaul61,Lacey.Stracke35,5,2,6.79,withdrawal,Wagon, 2023-07-3,未完成
34,Emmie.Bartell60,Lilla_Tillman,414,1,5.53,withdrawal,Convertible, 2023-07-3,未完成
35,Karlee.Mitchell,Mike.Larkin,536,0,6.1,payment,Minivan, 2023-07-3,未完成
36,Garnet_Jaskolski,Lincoln_Nitzsche67,280,5,7.39,payment,Sedan, 2023-07-3,未完成
37,Raleigh_Kemmer,Chad.Kirlin,497,0,6.87,withdrawal,Extended Cab Pickup, 2023-07-3,未完成
38,Chauncey_Fritsch49,Abigale3,50,4,7.48,payment,SUV, 2023-07-3,未完成
39,Arch48,Pietro64,411,4,8.8,withdrawal,Hatchback, 2023-07-3,未完成
40,Lesly.Towne4,Roosevelt_Monahan25,336,4,5.84,payment,Hatchback, 2023-07-3,未完成
41,Bradford.Cruickshank82,Candelario_Stiedemann,744,1,6.76,invoice,Hatchback, 2023-07-3,未完成
42,Ashlynn.Barrows,Hester_Kuvalis33,428,4,8.48,payment,SUV, 2023-07-3,未完成
43,Alec_Hilll,Laney85,673,4,5.41,payment,Passenger Van, 2023-07-3,未完成
44,Felix32,Monte_Hintz80,374,0,5.26,deposit,SUV, 2023-07-3,未完成
45,Dasia_Macejkovic,Kaylee.Stark,292,0,5.22,invoice,Wagon, 2023-07-3,未完成
46,Stephania_Shields5,Chelsey_Brown-Rice,604,3,5.49,invoice,Coupe, 2023-07-3,未完成
47,Bradley93,Sammy_Conn,385,3,8.99,payment,Minivan, 2023-07-3,未完成
48,Eliezer.Grimes,Maia_Toy98,595,3,5.08,payment,Wagon, 2023-07-3,未完成
49,Marielle38,Kale8,293,0,7.21,payment,Passenger Van, 2023-07-3,未完成
50,Tressie_Williamson66,Mabelle54,191,3,8.7,payment,Coupe, 2023-07-3,未完成
51,Therese1,Maria.Kovacek,596,3,5.03,withdrawal,Minivan, 2023-07-3,未完成
52,Casimer_Wiza,Mazie.Rohan61,955,1,6.99,deposit,Convertible, 2023-07-3,未完成
53,Jamarcus.Borer50,Ashly_OKon29,3,1,9.45,withdrawal,Convertible, 2023-07-3,未完成
54,Elizabeth34,Boris_Robel,247,3,8.83,deposit,Passenger Van, 2023-07-3,未完成
55,Garfield_Berge13,Colin_Brakus,384,1,6.11,invoice,Crew Cab Pickup, 2023-07-3,未完成
56,Melyna56,Aliza85,502,3,5.74,payment,Passenger Van, 2023-07-3,未完成
57,Lester70,Deon78,118,4,6.02,withdrawal,Convertible, 2023-07-3,未完成
58,Julie4,Monica.Bauch58,372,1,5.55,invoice,Coupe, 2023-07-3,未完成
59,Cordell26,Abbigail.Deckow-Altenwerth50,830,3,7.37,invoice,Extended Cab Pickup, 2023-07-3,未完成
60,Willard_Beier57,Genevieve_Cronin,449,2,8.1,deposit,Hatchback, 2023-07-3,未完成
61,Missouri.Okuneva31,Zander_DuBuque,610,4,5.01,invoice,Hatchback, 2023-07-3,未完成
62,Blake.Schaden82,Sydnee40,250,5,7.58,withdrawal,Extended Cab Pickup, 2023-07-3,未完成
63,Sidney.Bode-Daniel12,Alyce71,774,5,9.39,withdrawal,Minivan, 2023-07-3,未完成
64,Justina9,Leila_Kilback9,81,3,6.25,invoice,Sedan, 2023-07-3,未完成
65,Hilbert.Herzog,Lauryn_Rodriguez,408,1,8.93,invoice,Passenger Van, 2023-07-3,未完成
66,Dovie8,Fausto_Daugherty,284,1,5.3,payment,Convertible, 2023-07-3,未完成
67,Esta58,Rodrick_Emmerich84,287,2,8.5,withdrawal,Minivan, 2023-07-3,未完成
68,Eve.Kris16,Trinity37,192,3,9.47,payment,Wagon, 2023-07-3,未完成
69,Dahlia81,Leanna50,824,5,5.05,deposit,Wagon, 2023-07-3,未完成
70,Cristopher.Williamson,Lavonne_Roberts,660,0,8.91,invoice,Convertible, 2023-07-3,未完成
71,Aubrey_Muller63,Jerald_OConnell-Harris,458,1,9.95,deposit,Minivan, 2023-07-3,未完成
72,Eryn58,Leonard_Sauer51,201,4,9.91,deposit,Convertible, 2023-07-3,未完成
73,Bailey.Weissnat-Ullrich93,Frederick_Bernhard90,336,3,7.08,withdrawal,Extended Cab Pickup, 2023-07-3,未完成
74,Madelyn_Parisian44,Leon_Swift-Welch81,453,4,6.26,invoice,Hatchback, 2023-07-3,未完成
75,Destini_Trantow,Stuart34,721,5,8.81,invoice,Extended Cab Pickup, 2023-07-3,未完成
76,Andres_Sipes,Issac_Ziemann82,160,1,6.25,payment,Extended Cab Pickup, 2023-07-3,未完成
77,Destany.Lind18,Monty.Corkery95,811,5,7.59,payment,Minivan, 2023-07-3,未完成
78,Sven_Tromp,Carmella_Runolfsson,569,1,5.18,withdrawal,Convertible, 2023-05-3,未完成
79,Rashawn.Jacobi,Roberto_DuBuque37,462,4,8.79,invoice,Minivan, 2023-05-3,未完成
80,Wilford.Quigley83,Trey_Ankunding-Sawayn,675,2,8.22,withdrawal,Wagon, 2023-05-3,未完成
81,Gerry68,Yasmeen.Funk-Kris,285,4,9.52,withdrawal,Sedan, 2023-05-3,未完成
82,Cornelius_Cremin7,Bianka.Kozey,207,4,6.04,invoice,Minivan, 2023-05-3,未完成
83,Kaelyn97,Mallory.Davis38,205,4,6.09,withdrawal,Wagon, 2023-05-3,未完成
84,Darion_Lynch48,Zoey.Bernier,754,4,7.69,payment,Wagon, 2023-05-3,未完成
85,Caden_Graham26,Alene87,967,2,7.59,deposit,Wagon, 2023-05-3,未完成
86,Dallas38,Donnell.Senger05,79,4,8.37,invoice,Crew Cab Pickup, 2023-05-3,未完成
87,Emmie88,Shirley1,491,3,5.95,invoice,Sedan, 2023-05-3,未完成
88,Jacinto_Weber84,Carolyn_Murray15,991,2,6.75,payment,SUV, 2023-05-3,未完成
89,Kennedy.Funk37,Jabari24,935,2,9.3,withdrawal,Crew Cab Pickup, 2023-05-3,未完成
90,Sedrick20,Ivory21,218,3,7.01,payment,Sedan, 2023-05-3,未完成
91,Jarret.Kilback68,Una_Hudson78,322,5,6.71,withdrawal,Sedan, 2023-05-3,未完成
92,Keely.Rempel,Roscoe51,751,3,8.45,withdrawal,Crew Cab Pickup, 2023-05-3,未完成
93,Troy.Cronin,Jefferey_Wiza94,437,1,5.77,withdrawal,Hatchback, 2023-05-3,未完成
94,Everardo79,Maegan29,781,3,7.66,payment,Cargo Van, 2023-05-3,未完成
95,Francesca83,Leslie30,505,4,9.46,deposit,Hatchback, 2023-05-3,未完成
96,Betsy.Johns,Boyd_Considine,224,2,8.21,deposit,Wagon, 2023-05-3,未完成
97,Anna.Schumm22,Kenya17,943,0,9.7,invoice,Minivan, 2023-05-3,未完成
98,Vernon_Heathcote55,Dudley57,57,4,6.22,payment,Sedan, 2023-05-3,未完成
99,Cleta68,Rocio.Rogahn82,578,1,6.34,withdrawal,Coupe, 2023-05-3,未完成
100,Magnolia34,Bianka.Schneider82,595,1,8.78,deposit,Sedan, 2023-05-3,未完成
